epoch,iteration,equivar_loss_term_1,equivar_loss_term_2,equivar_loss_term_3,equivar_loss_term_4,equivar_sanity_check,standard_val_loss,loss_diff,grad_norm_equiv,grad_norm_pred,grad_norm_ratio,modified pct
0,729,0.002727458,0.000941121,0.001782847,0.653663754,0.002723968,0.006322682,0.003595224,0,1.00E-08,0,65.5%
1,1458,0.000548252,0.000363088,0.00018455,0.336609483,0.000547638,0.001386417,0.000838166,0,1.00E-08,0,33.7%
2,2187,0.000343964,0.000290323,5.37E-05,0.156188965,0.000344048,0.000481714,0.00013775,0,1.00E-08,0,15.6%
3,2916,0.000295069,0.000274446,2.06E-05,0.06973815,0.000295024,0.000326422,3.14E-05,0,1.00E-08,0,7.0%
4,3645,0.000279419,0.000266202,1.32E-05,0.047157161,0.000279379,0.000298557,1.91E-05,0,1.00E-08,0,4.7%
5,4374,0.00026943,0.000260118,9.59E-06,0.035583392,0.000269706,0.000286991,1.76E-05,0,1.00E-08,0,3.6%
6,5103,0.000264827,0.000258922,5.86E-06,0.022117767,0.00026478,0.000282692,1.79E-05,0,1.00E-08,0,2.2%
7,5832,0.000263199,0.000256366,6.31E-06,0.023968298,0.000262675,0.000275098,1.19E-05,0,1.00E-08,0,2.4%
8,6561,0.000259614,0.00025676,2.85E-06,0.010976045,0.000259609,0.000274335,1.47E-05,0,1.00E-08,0,1.1%
9,7290,0.000252747,0.000247079,5.81E-06,0.022987941,0.000252889,0.000270276,1.75E-05,0,1.00E-08,0,2.3%
10,8019,0.000247143,0.000241265,5.30E-06,0.021453388,0.000246567,0.000260195,1.31E-05,0,1.00E-08,0,2.2%
11,8748,0.000241155,0.000234848,5.85E-06,0.024273917,0.000240702,0.000255081,1.39E-05,0,1.00E-08,0,2.4%
12,9477,0.000242219,0.000234935,6.78E-06,0.028009338,0.00024172,0.000268933,2.67E-05,0,1.00E-08,0,2.8%
13,10206,0.000230265,0.000224493,5.62E-06,0.024395492,0.00023011,0.000246115,1.58E-05,0,1.00E-08,0,2.4%
14,10935,0.000224492,0.000218969,5.44E-06,0.024230653,0.000224409,0.000238539,1.40E-05,0,1.00E-08,0,2.4%
15,11664,0.000216292,0.000211129,4.61E-06,0.021303643,0.000215737,0.000231203,1.49E-05,0,1.00E-08,0,2.1%
16,12393,0.000196859,0.000189138,7.20E-06,0.036547888,0.000196333,0.000215176,1.83E-05,0,1.00E-08,0,3.7%
17,13122,0.00016624,0.000153178,1.27E-05,0.076421499,0.000165883,0.000182937,1.67E-05,0,1.00E-08,0,7.7%
18,13851,0.000138327,0.000127877,1.13E-05,0.081932612,0.000139211,0.000156439,1.81E-05,0,1.00E-08,0,8.1%
19,14580,0.000149958,0.000142545,7.58E-06,0.050515231,0.000150121,0.000141162,8.80E-06,0,1.00E-08,0,5.0%
20,15309,0.000131219,0.000123749,7.10E-06,0.054124348,0.000130852,0.000133314,2.10E-06,0,1.00E-08,0,5.4%
21,16038,0.000123145,0.000115742,6.38E-06,0.051796831,0.000122121,0.000127037,3.89E-06,0,1.00E-08,0,5.2%
22,16767,0.000121065,0.000115455,6.62E-06,0.054636616,0.00012207,0.000124524,3.46E-06,0,1.00E-08,0,5.4%
23,17496,0.000116635,0.000109319,6.33E-06,0.054289613,0.000115652,0.000118736,2.10E-06,0,1.00E-08,0,5.5%
24,18225,0.000117507,0.000111368,6.43E-06,0.05471598,0.000117798,0.000116066,1.44E-06,0,1.00E-08,0,5.5%
25,18954,0.000113053,0.000106012,6.05E-06,0.05351875,0.000112063,0.000111151,1.90E-06,0,1.00E-08,0,5.4%
26,19683,0.000100175,9.28E-05,6.01E-06,0.059966158,9.89E-05,0.000106906,6.73E-06,0,1.00E-08,0,6.1%
27,20412,0.00010243,9.67E-05,6.47E-06,0.063186146,0.000103155,0.000103394,9.64E-07,0,1.00E-08,0,6.3%
28,21141,0.000102129,9.72E-05,5.66E-06,0.055381063,0.000102892,9.97E-05,2.46E-06,0,1.00E-08,0,5.5%
29,21870,9.21E-05,8.75E-05,6.17E-06,0.066906333,9.37E-05,9.81E-05,5.91E-06,0,1.00E-08,0,6.6%
30,22599,9.62E-05,8.96E-05,6.56E-06,0.068249539,9.62E-05,9.40E-05,2.19E-06,0,1.00E-08,0,6.8%
31,23328,9.85E-05,9.28E-05,5.46E-06,0.055396292,9.83E-05,9.20E-05,6.57E-06,0,1.00E-08,0,5.6%
32,24057,8.48E-05,7.92E-05,5.27E-06,0.062086415,8.45E-05,8.93E-05,4.47E-06,0,1.00E-08,0,6.2%
33,24786,8.52E-05,7.90E-05,6.09E-06,0.071451791,8.50E-05,8.79E-05,2.75E-06,0,1.00E-08,0,7.2%
34,25515,8.85E-05,8.20E-05,6.50E-06,0.073421694,8.85E-05,8.47E-05,3.75E-06,0,1.00E-08,0,7.3%
35,26244,8.53E-05,7.99E-05,5.67E-06,0.066439912,8.56E-05,8.27E-05,2.57E-06,0,1.00E-08,0,6.6%
36,26973,8.72E-05,8.14E-05,5.66E-06,0.064896189,8.71E-05,8.12E-05,6.05E-06,0,1.00E-08,0,6.5%
37,27702,7.95E-05,7.36E-05,5.99E-06,0.075292431,7.96E-05,7.77E-05,1.81E-06,0,1.00E-08,0,7.5%
38,28431,8.05E-05,7.41E-05,5.89E-06,0.07313773,8.00E-05,7.57E-05,4.78E-06,0,1.00E-08,0,7.4%
39,29160,7.20E-05,6.48E-05,6.15E-06,0.085379101,7.10E-05,7.23E-05,3.05E-07,0,1.00E-08,0,8.7%
40,29889,6.82E-05,6.43E-05,5.43E-06,0.079696514,6.97E-05,7.00E-05,1.86E-06,0,1.00E-08,0,7.8%
41,30618,7.82E-05,7.25E-05,5.93E-06,0.075807832,7.84E-05,6.76E-05,1.06E-05,0,1.00E-08,0,7.6%
42,31347,7.08E-05,6.54E-05,6.12E-06,0.086313002,7.15E-05,6.53E-05,5.52E-06,0,1.00E-08,0,8.6%
43,32076,7.36E-05,6.61E-05,6.41E-06,0.08710672,7.25E-05,6.43E-05,9.31E-06,0,1.00E-08,0,8.8%
44,32805,7.16E-05,6.58E-05,6.08E-06,0.084837958,7.18E-05,6.21E-05,9.56E-06,0,1.00E-08,0,8.5%
45,33534,6.63E-05,6.00E-05,5.98E-06,0.090318337,6.60E-05,6.09E-05,5.33E-06,0,1.00E-08,0,9.1%
46,34263,6.63E-05,6.11E-05,4.89E-06,0.073643863,6.60E-05,5.96E-05,6.70E-06,0,1.00E-08,0,7.4%
47,34992,6.16E-05,5.71E-05,5.96E-06,0.096741334,6.30E-05,5.81E-05,3.54E-06,0,1.00E-08,0,9.5%
48,35721,6.22E-05,5.35E-05,5.36E-06,0.086146355,5.88E-05,5.62E-05,6.03E-06,0,1.00E-08,0,9.1%
49,36450,6.27E-05,5.93E-05,4.25E-06,0.067855671,6.36E-05,5.59E-05,6.71E-06,0,1.00E-08,0,6.7%
50,37179,6.01E-05,5.41E-05,5.47E-06,0.090968855,5.95E-05,5.46E-05,5.49E-06,0,1.00E-08,0,9.2%
51,37908,6.61E-05,6.09E-05,5.97E-06,0.090206191,6.68E-05,5.27E-05,1.35E-05,0,1.00E-08,0,8.9%
52,38637,6.10E-05,5.48E-05,4.92E-06,0.080764748,5.97E-05,5.31E-05,7.86E-06,0,1.00E-08,0,8.2%
53,39366,6.43E-05,5.96E-05,5.80E-06,0.090203553,6.54E-05,5.18E-05,1.25E-05,0,1.00E-08,0,8.9%
54,40095,5.41E-05,4.71E-05,5.43E-06,0.100269303,5.25E-05,4.99E-05,4.19E-06,0,1.00E-08,0,10.3%
55,40824,5.59E-05,5.09E-05,4.76E-06,0.085129932,5.56E-05,4.88E-05,7.11E-06,0,1.00E-08,0,8.6%
56,41553,5.57E-05,5.06E-05,5.43E-06,0.097489044,5.60E-05,4.89E-05,6.82E-06,0,1.00E-08,0,9.7%
57,42282,5.26E-05,4.91E-05,4.74E-06,0.090148106,5.39E-05,4.85E-05,4.11E-06,0,1.00E-08,0,8.8%
58,43011,5.79E-05,5.18E-05,4.34E-06,0.074919224,5.62E-05,4.69E-05,1.10E-05,0,1.00E-08,0,7.7%
