epoch,iteration,equivar_loss_term_1,equivar_loss_term_2,equivar_loss_term_3,equivar_loss_term_4,equivar_sanity_check,standard_val_loss,loss_diff,grad_norm_equiv,grad_norm_pred,grad_norm_ratio
0,7290,0.00037831574445590377,0.00033140863524749875,4.621212792699225e-05,0.1221490427851677,0.0003776207740884274,0.00028607030981220305,9.224543464370072e-05,0.0,9.99999993922529e-09,0.0
1,14580,0.00018364940478932112,0.00016668163880240172,1.685985625954345e-05,0.09179957956075668,0.00018354150233790278,0.00014203334285411984,4.161606193520129e-05,0.0,9.99999993922529e-09,0.0
2,21870,0.00013372748799156398,0.00012374651851132512,8.702466402610298e-06,0.06507125496864319,0.00013244898582343012,0.00010414031567052007,2.958717232104391e-05,0.0,9.99999993922529e-09,0.0
3,29160,0.00011714552238117903,0.0001090106088668108,9.096261237573344e-06,0.07764261960983276,0.00011810687283286825,8.614410762675107e-05,3.100141475442797e-05,0.0,9.99999993922529e-09,0.0
4,36450,9.525229688733816e-05,8.797609189059585e-05,7.252494924614439e-06,0.07613185048103333,9.522858454147354e-05,6.581925845239311e-05,2.9433038434945047e-05,0.0,9.99999993922529e-09,0.0
5,43740,7.243137224577367e-05,6.833421502960846e-05,9.646874786994886e-06,0.1331680417060852,7.798108708811924e-05,5.5161519412649795e-05,1.7269852833123878e-05,0.0,9.99999993922529e-09,0.0
6,51030,6.400327401934192e-05,5.3876283345744014e-05,8.004756637092214e-06,0.12504839897155762,6.188103725435212e-05,4.938725760439411e-05,1.4616016414947808e-05,0.0,9.99999993922529e-09,0.0
7,58320,7.210151670733467e-05,6.645495886914432e-05,6.905969712533988e-06,0.09576792269945145,7.33609267626889e-05,4.497251575230621e-05,2.712900095502846e-05,0.0,9.99999993922529e-09,0.0
8,65610,5.575477553065866e-05,4.9967005907092243e-05,7.872666174080223e-06,0.14117632806301117,5.7839672081172466e-05,4.2015803046524525e-05,1.3738972484134138e-05,0.0,9.99999993922529e-09,0.0
9,72900,4.7323886974481866e-05,4.220709888613783e-05,7.243043910420965e-06,0.15302026271820068,4.9450143706053495e-05,3.943219780921936e-05,7.891689165262505e-06,0.0,9.99999993922529e-09,0.0
10,80190,5.593094465439208e-05,4.71634411951527e-05,6.751262844773009e-06,0.12068553268909454,5.391470403992571e-05,3.742452463484369e-05,1.8506420019548386e-05,0.0,9.99999993922529e-09,0.0
11,87480,4.3006803025491536e-05,3.781511259148829e-05,5.559330929827411e-06,0.12923626601696014,4.3374442611820996e-05,3.56077216565609e-05,7.399081368930638e-06,0.0,9.99999993922529e-09,0.0
12,94770,4.4667685870081186e-05,3.7787256587762386e-05,6.814704192947829e-06,0.15253037214279175,4.460196214495227e-05,3.41657578246668e-05,1.0501928045414388e-05,0.0,9.99999993922529e-09,0.0
