epoch,iteration,equivar_loss_term_1,equivar_loss_term_2,equivar_loss_term_3,equivar_loss_term_4,equivar_sanity_check,standard_val_loss,loss_diff,grad_norm_equiv,grad_norm_pred,grad_norm_ratio
0,7290,0.0003690978919621557,0.0003305486461613327,3.7226727727102116e-05,0.10085594654083252,0.00036777538480237126,0.0003034929686691612,6.56049232929945e-05,0.0,9.99999993922529e-09,0.0
1,14580,0.00020643280004151165,0.0001960380468517542,1.0637015293468721e-05,0.05152524262666702,0.0002066750603262335,0.00016237242380157113,4.4060376239940524e-05,0.0,9.99999993922529e-09,0.0
2,21870,0.00014304538490250707,0.0001357668952550739,7.324438684008783e-06,0.051200021058321,0.00014309133985079825,0.00010539597133174539,3.764941357076168e-05,0.0,9.99999993922529e-09,0.0
3,29160,0.00013055134331807494,0.00012398173566907644,7.119144811440492e-06,0.05452720448374748,0.000131100881844759,9.141257032752037e-05,3.913877299055457e-05,0.0,9.99999993922529e-09,0.0
4,36450,0.00011655475827865303,0.00010570408630883321,8.043072739383206e-06,0.06900089979171753,0.00011374715541023761,7.533587631769478e-05,4.121888196095824e-05,0.0,9.99999993922529e-09,0.0
5,43740,9.811749623622745e-05,9.211964788846672e-05,6.784970537410118e-06,0.06914444267749786,9.890461660688743e-05,6.815020606154576e-05,2.9967290174681693e-05,0.0,9.99999993922529e-09,0.0
6,51030,8.103727304842323e-05,7.377241126960143e-05,7.224973160191439e-06,0.08914517611265182,8.099738624878228e-05,6.122751074144617e-05,1.9809762306977063e-05,0.0,9.99999993922529e-09,0.0
7,58320,7.316150731639937e-05,6.259165820665658e-05,7.632688721059822e-06,0.10431230813264847,7.02243487467058e-05,5.052248889114708e-05,2.263901842525229e-05,0.0,9.99999993922529e-09,0.0
8,65610,6.955432763788849e-05,6.207060505403206e-05,5.950445938651683e-06,0.08553875982761383,6.802105053793639e-05,4.70363229396753e-05,2.251800469821319e-05,0.0,9.99999993922529e-09,0.0
9,72900,5.863558908458799e-05,5.39646134711802e-05,9.655568646849133e-06,0.16464270651340485,6.362018029903993e-05,4.454511508811265e-05,1.4090473996475339e-05,0.0,9.99999993922529e-09,0.0
10,80190,6.42004088149406e-05,5.755909296567552e-05,6.950866008992307e-06,0.10825139284133911,6.450995715567842e-05,4.2896801460301504e-05,2.1303607354639098e-05,0.0,9.99999993922529e-09,0.0
11,87480,5.193206015974283e-05,4.734559479402378e-05,5.20898902323097e-06,0.10028460621833801,5.255458381725475e-05,4.130643355892971e-05,1.062562660081312e-05,0.0,9.99999993922529e-09,0.0
12,94770,5.001395766157657e-05,4.467293911147863e-05,6.325207323243376e-06,0.12644356489181519,5.0998147344216704e-05,4.004957008874044e-05,9.964387572836131e-06,0.0,9.99999993922529e-09,0.0
13,102060,4.7658053517807275e-05,3.8885773392394185e-05,7.594981070724316e-06,0.15933063626289368,4.64807526441291e-05,3.8712736568413675e-05,8.9453169493936e-06,0.0,9.99999993922529e-09,0.0
14,109350,4.6022450987948105e-05,3.9248836401384324e-05,7.791397365508601e-06,0.16925880312919617,4.7040233766892925e-05,3.785600347328e-05,8.166447514668107e-06,0.0,9.99999993922529e-09,0.0
15,116640,4.287307820050046e-05,3.9264334191102535e-05,5.9009853430325165e-06,0.13760638236999512,4.516531771514565e-05,3.693318285513669e-05,5.939895345363766e-06,0.0,9.99999993922529e-09,0.0
16,123930,6.200739881023765e-05,5.453389894682914e-05,7.0021278588683344e-06,0.11290586739778519,6.153602589620277e-05,3.6296758480602875e-05,2.571064032963477e-05,0.0,9.99999993922529e-09,0.0
17,131220,5.053672066424042e-05,4.4010415876982734e-05,6.567285709024873e-06,0.12992505729198456,5.057770249550231e-05,3.554582508513704e-05,1.499089557910338e-05,0.0,9.99999993922529e-09,0.0
18,138510,5.110567872179672e-05,4.3898824515054e-05,6.702127848257078e-06,0.1311168670654297,5.060095281805843e-05,3.48552166542504e-05,1.6250462067546323e-05,0.0,9.99999993922529e-09,0.0
19,145800,3.652560189948417e-05,3.4790122299455106e-05,5.331675311026629e-06,0.1459309458732605,4.012179851997644e-05,3.4483116905903444e-05,2.0424849935807288e-06,0.0,9.99999993922529e-09,0.0
20,153090,4.478525443118997e-05,4.194814391667023e-05,5.9376820900070015e-06,0.13255158066749573,4.788582737091929e-05,3.3948002965189517e-05,1.0837251466000453e-05,0.0,9.99999993922529e-09,0.0
21,160380,4.4599062675843015e-05,3.479075530776754e-05,6.269112873269478e-06,0.14053450524806976,4.105986954527907e-05,3.3452171919634566e-05,1.114689075620845e-05,0.0,9.99999993922529e-09,0.0
